metric,n_games,correlation,ci_lower,ci_upper
off_pass_epa,1,0.27029197728128773,0.20344438401220696,0.33563273014786593
off_pass_epa,2,0.3394801173880956,0.27639609144570915,0.40067201104836186
off_pass_epa,3,0.42689613581059166,0.37080726569210454,0.4775517433929311
off_pass_epa,4,0.4849567168116341,0.43204090686002494,0.5374527450505535
off_pass_epa,5,0.5017661524713372,0.45143469051485435,0.5516377171386501
off_pass_epa,6,0.5062103886840574,0.4564668510382126,0.5573055041431664
off_pass_epa,7,0.5033308244124821,0.454149721805948,0.5519475004846941
off_pass_epa,8,0.513771792473144,0.4667049717728693,0.5605986722242747
off_rush_epa,1,0.13051290818307745,0.06243292586617323,0.19832790826976468
off_rush_epa,2,0.24512579693553296,0.17963325475692232,0.3069058876102103
off_rush_epa,3,0.3140947942169302,0.25012152001472987,0.37322721252748287
off_rush_epa,4,0.3307550358481438,0.2649516711066561,0.3897671656619106
off_rush_epa,5,0.3505067923721912,0.2891901169927344,0.41020091699977385
off_rush_epa,6,0.37362416241107177,0.3148532282392357,0.4361622539618245
off_rush_epa,7,0.3729866180343514,0.3126308042861703,0.4309676067580024
off_rush_epa,8,0.37203737077615984,0.3065108225606909,0.42868849357535155
def_pass_epa,1,0.1477240942181294,0.08063321770521176,0.21151256692828962
def_pass_epa,2,0.24363048483219746,0.17965510733086765,0.3018561214580667
def_pass_epa,3,0.25749069097406985,0.19181632681211047,0.3188844605222785
def_pass_epa,4,0.26141653211883137,0.1967208649948008,0.3250452833124513
def_pass_epa,5,0.28152554490393245,0.21487434897983057,0.3417737716631896
def_pass_epa,6,0.272320083124354,0.21176381293711147,0.3325791635957652
def_pass_epa,7,0.2718446147770887,0.2079979784749235,0.3345654078399841
def_pass_epa,8,0.2615871175760571,0.20045458703670782,0.32108121981211407
def_rush_epa,1,0.1028901206214306,0.03396622728267887,0.17053446953480855
def_rush_epa,2,0.16543545855562436,0.09581915447158428,0.23242088455711427
def_rush_epa,3,0.18032816162293336,0.11486131844451894,0.2514380765377813
def_rush_epa,4,0.1573493555227012,0.0888073834120772,0.22329039736310766
metric,n_games,correlation,ci_lower,ci_upper
def_rush_epa,5,0.2071659686323441,0.13326101115399103,0.27389645720894684
def_rush_epa,6,0.22498154797968337,0.15210368783886824,0.2958602467481305
def_rush_epa,7,0.24170390119531196,0.16985644199509972,0.30571734948292995
def_rush_epa,8,0.24428467874366622,0.1726262267164105,0.3063481725038796
off_success,1,0.3895168017000897,0.33238571539490136,0.44517795266103527
off_success,2,0.4735394619226627,0.4182352513233742,0.5233217354373284
off_success,3,0.5352636734102348,0.48438989146994904,0.5855048159791476
off_success,4,0.5700141315626475,0.5225533358359199,0.6204532120815212
off_success,5,0.5770990574806123,0.5332552366249694,0.6243309557062741
off_success,6,0.5983508577188803,0.5543426265386444,0.6405646274578066
off_success,7,0.602413697098085,0.5617906110588458,0.6415424763013623
off_success,8,0.6072594159558485,0.5648652353155508,0.6472107399007663
def_success,1,0.2793652365708342,0.21832630706091857,0.3403565045087347
def_success,2,0.36298902878896916,0.3018092937229412,0.4220720835235361
def_success,3,0.39661776095163914,0.33338719587788446,0.4518377452629528
def_success,4,0.4153395956969137,0.3578900622070193,0.46781373401065296
def_success,5,0.4348443166617687,0.37617991423946207,0.4911159545998928
def_success,6,0.4356628135634083,0.38054302957742,0.48735474169299803
def_success,7,0.4321409503689803,0.37278499639713675,0.4879378272556592
def_success,8,0.4324802158817454,0.3761545626915748,0.48578896632177915
turnover_rate,1,0.1387870934659552,0.07226188160098351,0.20288922509922125
turnover_rate,2,0.20404980149880594,0.13658271778375622,0.2695607052236883
turnover_rate,3,0.25910024041148605,0.20219207839744738,0.32208077265091045
turnover_rate,4,0.27769983679892424,0.21651159914933024,0.33977654812137154
turnover_rate,5,0.28322588525491915,0.2243516081823429,0.34433769645506795
turnover_rate,6,0.27899552730915433,0.21675239383708897,0.34268298349278886
turnover_rate,7,0.26775763700454475,0.20720158445294012,0.333122556963221
turnover_rate,8,0.2830354547678097,0.22428029026787452,0.3488564211171586
